Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,0.01,0.61,0.3440217909509752
100% Corpus,6,0.01,0.9099999999999999,0.3495015394079001
100% Corpus,6,0.01,symmetric,0.33271372377977954
100% Corpus,6,0.31,0.01,0.34063704007593254
100% Corpus,6,0.31,0.31,0.3383183035532237
100% Corpus,6,0.31,0.61,0.3359553937554954
100% Corpus,6,0.31,0.9099999999999999,0.32673432556027804
100% Corpus,6,0.31,symmetric,0.3424989053302504
100% Corpus,6,0.61,0.01,0.344232949174729
100% Corpus,6,0.61,0.31,0.33806013129403933
100% Corpus,6,0.61,0.61,0.3427751224335237
100% Corpus,6,0.61,0.9099999999999999,0.3315486075611495
100% Corpus,6,0.61,symmetric,0.34096264199171683
100% Corpus,6,0.9099999999999999,0.01,0.3399020130904318
100% Corpus,6,0.9099999999999999,0.31,0.3458704699052979
100% Corpus,6,0.9099999999999999,0.61,0.34077154750318395
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.33658521804579467
100% Corpus,6,0.9099999999999999,symmetric,0.3400412284664209
100% Corpus,6,symmetric,0.01,0.33271372377977954
100% Corpus,6,symmetric,0.31,0.33708946737401
100% Corpus,6,symmetric,0.61,0.3398288246926259
100% Corpus,6,symmetric,0.9099999999999999,0.33773744575183634
100% Corpus,6,symmetric,symmetric,0.3352657922240249
100% Corpus,6,asymmetric,0.01,0.33777466996574895
100% Corpus,6,asymmetric,0.31,0.3340107536946177
100% Corpus,6,asymmetric,0.61,0.3378036352311135
100% Corpus,6,asymmetric,0.9099999999999999,0.3382493712102931
100% Corpus,6,asymmetric,symmetric,0.3317600722145728
100% Corpus,7,0.01,0.01,0.3344307004312399
100% Corpus,7,0.01,0.31,0.3390581263856579
100% Corpus,7,0.01,0.61,0.34674219882754204
100% Corpus,7,0.01,0.9099999999999999,0.3412923677402384
100% Corpus,7,0.01,symmetric,0.3327137237797795
100% Corpus,7,0.31,0.01,0.3414297394315786
100% Corpus,7,0.31,0.31,0.34275777182091327
100% Corpus,7,0.31,0.61,0.33421528461996197
100% Corpus,7,0.31,0.9099999999999999,0.32635524865199594
100% Corpus,7,0.31,symmetric,0.33403511889168425
100% Corpus,7,0.61,0.01,0.34344024981908294
100% Corpus,7,0.61,0.31,0.34339055921712003
100% Corpus,7,0.61,0.61,0.33560374381047575
100% Corpus,7,0.61,0.9099999999999999,0.3396644156239951
100% Corpus,7,0.61,symmetric,0.3413521495324957
100% Corpus,7,0.9099999999999999,0.01,0.3397386254316753
100% Corpus,7,0.9099999999999999,0.31,0.3403227903250358
100% Corpus,7,0.9099999999999999,0.61,0.3342793636629416
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.32841703207471984
